id,customer_id,channel_id,store_id,product_id,order_date_id,shipping_address_id,billing_address_id,quantity,unit_price,discount_amount,line_total
1,356,1,,2,696,599,1914,2,15000.0,0.0,30000.0
2,356,1,,1,696,599,1914,2,12000.0,2400.0,21600.0
3,601,1,,1,396,2538,2807,1,12000.0,240.0,11760.0
4,601,1,,2,396,2538,2807,2,15000.0,600.0,29400.0
5,601,1,,1,396,2538,2807,2,12600.0,2520.0,22680.0
6,1234,1,,1,788,3067,130,1,12000.0,240.0,11760.0
7,1234,1,,2,788,3067,130,1,15000.0,1500.0,13500.0
8,156,1,,1,791,511,2669,1,12000.0,1200.0,10800.0
9,156,1,,2,791,511,2669,1,15000.0,300.0,14700.0
10,616,2,4,2,455,4,297,2,15750.0,1575.0,29925.0
11,616,2,4,2,455,4,297,1,15000.0,750.0,14250.0
12,614,2,2,1,437,2,727,2,12000.0,0.0,24000.0
13,188,1,,2,927,1152,436,1,15000.0,750.0,14250.0
14,17,1,,2,681,2581,,1,15000.0,1500.0,13500.0
15,1148,1,,1,603,494,1022,3,12000.0,0.0,36000.0
16,1148,1,,2,603,494,1022,3,15000.0,4500.0,40500.0
17,1148,1,,1,603,494,1022,1,12600.0,0.0,12600.0
18,1037,1,,2,455,978,101,1,13500.0,675.0,12825.0
19,1336,2,1,2,438,1,,1,15000.0,300.0,14700.0
20,1239,2,4,2,899,4,1163,1,15000.0,300.0,14700.0
21,1239,2,4,1,899,4,1163,2,10800.0,2160.0,19440.0
22,1426,2,3,1,587,3,2393,3,12000.0,720.0,35280.0
23,862,2,1,2,813,1,346,3,15750.0,2362.5,44887.5
24,862,2,1,1,813,1,346,3,12000.0,1800.0,34200.0
25,862,2,1,1,813,1,346,2,12000.0,1200.0,22800.0
26,181,1,,1,961,2921,1242,1,12000.0,240.0,11760.0
27,700,1,,1,624,807,2272,2,12000.0,480.0,23520.0
28,475,1,,1,970,2562,589,2,12600.0,2520.0,22680.0
29,753,2,2,2,781,2,2056,2,15750.0,630.0,30870.0
30,753,2,2,1,781,2,2056,3,12000.0,0.0,36000.0
31,1151,1,,2,561,1695,1716,1,13500.0,270.0,13230.0
32,1151,1,,1,561,1695,1716,2,13200.0,2640.0,23760.0
33,1151,1,,2,561,1695,1716,3,15000.0,0.0,45000.0
34,793,1,,1,842,2616,1527,3,12600.0,756.0,37044.0
35,866,1,,2,492,2378,2937,3,16500.0,0.0,49500.0
36,1110,1,,1,997,1549,2250,2,12000.0,480.0,23520.0
37,854,2,1,1,456,1,1466,2,12000.0,0.0,24000.0
38,379,2,3,2,917,3,2102,2,15000.0,600.0,29400.0
39,379,2,3,1,917,3,2102,1,12000.0,0.0,12000.0
40,379,2,3,2,917,3,2102,2,15000.0,3000.0,27000.0
41,441,2,2,1,792,2,532,1,12000.0,240.0,11760.0
42,125,1,,2,969,516,1985,3,15750.0,2362.5,44887.5
43,125,1,,1,969,516,1985,2,12600.0,0.0,25200.0
44,1201,1,,2,712,301,3168,1,15000.0,1500.0,13500.0
45,1055,1,,1,702,1862,2325,2,12000.0,1200.0,22800.0
46,382,1,,1,503,1423,342,1,12000.0,0.0,12000.0
47,1456,1,,2,988,1425,414,2,16500.0,660.0,32340.0
48,1456,1,,1,988,1425,414,3,12000.0,3600.0,32400.0
49,1377,2,4,1,891,4,2585,3,12000.0,1800.0,34200.0
50,1375,2,4,1,861,4,928,2,12000.0,480.0,23520.0
51,821,1,,2,805,924,2185,2,15000.0,3000.0,27000.0
52,1475,2,4,2,525,4,2316,1,15000.0,300.0,14700.0
53,634,2,2,2,687,2,1160,3,15750.0,2362.5,44887.5
54,634,2,2,2,687,2,1160,3,15000.0,4500.0,40500.0
55,585,2,1,1,377,1,2440,2,12000.0,2400.0,21600.0
56,180,1,,1,633,1863,3142,2,12000.0,1200.0,22800.0
57,180,1,,2,633,1863,3142,2,15000.0,3000.0,27000.0
58,482,1,,1,391,2325,1548,2,12600.0,504.0,24696.0
59,620,2,1,1,398,1,307,1,12000.0,240.0,11760.0
60,603,2,1,1,509,1,3134,3,10800.0,3240.0,29160.0
61,603,2,1,2,509,1,3134,2,15000.0,0.0,30000.0
62,1028,1,,1,429,1149,2288,1,12000.0,600.0,11400.0
63,1005,2,3,2,379,3,,1,15000.0,750.0,14250.0
64,1005,2,3,1,379,3,,1,10800.0,540.0,10260.0
65,790,1,,1,636,33,742,1,10800.0,540.0,10260.0
66,665,1,,1,507,2043,2230,3,13200.0,0.0,39600.0
67,562,1,,2,976,1135,,2,15000.0,600.0,29400.0
68,562,1,,2,976,1135,,3,15000.0,900.0,44100.0
69,998,1,,1,397,1984,2030,3,12000.0,0.0,36000.0
70,276,1,,2,377,493,,2,16500.0,0.0,33000.0
71,1469,2,2,1,433,2,,1,12000.0,1200.0,10800.0
72,408,2,2,1,622,2,2369,2,12000.0,480.0,23520.0
73,1360,2,2,2,589,2,178,3,13500.0,0.0,40500.0
74,1423,1,,2,572,665,1107,2,15000.0,1500.0,28500.0
75,741,1,,2,624,1867,1344,2,15750.0,630.0,30870.0
76,969,1,,1,674,1612,,3,12000.0,720.0,35280.0
77,969,1,,1,674,1612,,3,12000.0,720.0,35280.0
78,729,1,,2,588,458,2599,2,15000.0,3000.0,27000.0
79,251,2,4,1,441,4,2469,1,12600.0,252.0,12348.0
80,1087,2,1,2,935,1,2309,3,15000.0,2250.0,42750.0
81,659,1,,1,833,1891,2450,2,12000.0,0.0,24000.0
82,659,1,,2,833,1891,2450,3,16500.0,2475.0,47025.0
83,338,2,4,2,783,4,630,1,15000.0,750.0,14250.0
84,338,2,4,2,783,4,630,1,15750.0,1575.0,14175.0
85,1068,1,,2,630,2075,3,1,16500.0,1650.0,14850.0
86,1068,1,,2,630,2075,3,2,15000.0,1500.0,28500.0
87,958,1,,1,548,2539,1977,3,12000.0,1800.0,34200.0
88,958,1,,2,548,2539,1977,2,15000.0,0.0,30000.0
89,428,2,4,1,421,4,337,3,10800.0,3240.0,29160.0
90,1337,1,,1,791,88,298,1,12000.0,0.0,12000.0
91,1442,2,3,2,723,3,696,3,15000.0,0.0,45000.0
92,939,1,,1,516,410,3172,3,12600.0,756.0,37044.0
93,1409,1,,2,794,311,3175,1,16500.0,1650.0,14850.0
94,1062,1,,1,626,1403,2637,3,12000.0,720.0,35280.0
95,988,1,,1,391,138,1191,3,12000.0,720.0,35280.0
96,778,1,,2,832,1252,1602,1,15000.0,300.0,14700.0
97,77,1,,2,701,624,1747,1,15750.0,315.0,15435.0
98,77,1,,1,701,624,1747,2,12000.0,0.0,24000.0
99,77,1,,2,701,624,1747,3,15000.0,0.0,45000.0
100,700,1,,2,529,480,1472,3,15000.0,900.0,44100.0
101,425,1,,1,937,432,2747,1,12000.0,0.0,12000.0
102,1271,2,3,1,569,3,1522,1,12000.0,240.0,11760.0
103,1129,1,,2,398,2540,2125,1,13500.0,675.0,12825.0
104,1224,1,,2,707,1123,485,1,15750.0,315.0,15435.0
105,446,1,,1,714,2068,3072,2,12600.0,1260.0,23940.0
106,446,1,,1,714,2068,3072,3,12000.0,3600.0,32400.0
107,867,1,,2,812,2685,1944,2,15000.0,600.0,29400.0
108,127,1,,1,426,3189,423,2,12000.0,480.0,23520.0
109,874,2,1,1,704,1,208,2,12000.0,480.0,23520.0
110,814,1,,2,740,2367,374,1,15000.0,750.0,14250.0
111,814,1,,1,740,2367,374,2,13200.0,0.0,26400.0
112,1189,1,,1,990,840,2306,1,10800.0,0.0,10800.0
113,1189,1,,1,990,840,2306,2,12000.0,2400.0,21600.0
114,584,1,,2,681,69,2170,1,15000.0,300.0,14700.0
115,1433,1,,1,764,953,2160,2,12000.0,1200.0,22800.0
116,1433,1,,2,764,953,2160,2,15000.0,0.0,30000.0
117,670,1,,1,995,3103,2091,3,12000.0,1800.0,34200.0
118,464,1,,2,406,842,2869,1,16500.0,0.0,16500.0
119,464,1,,1,406,842,2869,2,12000.0,2400.0,21600.0
120,535,1,,2,695,153,,1,15000.0,0.0,15000.0
121,655,1,,1,791,2185,2539,1,12600.0,252.0,12348.0
122,833,1,,1,961,2251,855,1,12000.0,1200.0,10800.0
123,490,1,,1,713,1449,1319,1,12000.0,600.0,11400.0
124,360,1,,2,399,1460,104,2,15000.0,600.0,29400.0
125,360,1,,2,399,1460,104,2,15000.0,3000.0,27000.0
126,1227,1,,2,900,1176,2146,1,15000.0,750.0,14250.0
127,624,1,,1,392,38,2890,2,12000.0,0.0,24000.0
128,624,1,,2,392,38,2890,1,13500.0,675.0,12825.0
129,228,1,,2,413,2302,1743,3,15750.0,2362.5,44887.5
130,228,1,,2,413,2302,1743,3,15750.0,945.0,46305.0
131,770,1,,2,530,776,530,2,15000.0,0.0,30000.0
132,54,2,2,2,684,2,2329,3,15000.0,0.0,45000.0
133,54,2,2,1,684,2,2329,2,12000.0,0.0,24000.0
134,54,2,2,2,684,2,2329,1,16500.0,825.0,15675.0
135,1006,2,4,1,727,4,2237,3,12000.0,1800.0,34200.0
136,1006,2,4,2,727,4,2237,3,13500.0,0.0,40500.0
137,247,1,,2,999,1295,1236,3,16500.0,990.0,48510.0
138,1127,2,3,1,874,3,1319,3,12000.0,720.0,35280.0
139,757,2,2,2,529,2,2453,1,15750.0,315.0,15435.0
140,520,1,,1,747,2447,3135,3,12600.0,1890.0,35910.0
141,258,1,,1,423,228,1515,1,12000.0,0.0,12000.0
142,467,1,,1,577,1889,1636,1,10800.0,0.0,10800.0
143,467,1,,1,577,1889,1636,1,12600.0,252.0,12348.0
144,3,1,,1,455,223,2640,3,12000.0,0.0,36000.0
145,334,1,,1,689,2867,2620,3,12000.0,720.0,35280.0
146,802,2,3,1,450,3,553,3,10800.0,1620.0,30780.0
147,999,1,,2,448,3052,255,2,15000.0,0.0,30000.0
148,176,1,,1,498,2444,462,2,12000.0,2400.0,21600.0
149,801,1,,2,770,2960,607,1,15000.0,0.0,15000.0
150,1113,1,,1,508,1947,751,3,12600.0,3780.0,34020.0
151,810,2,4,2,916,4,,3,15750.0,945.0,46305.0
152,581,2,4,1,478,4,704,2,12000.0,2400.0,21600.0
153,581,2,4,1,478,4,704,1,12000.0,600.0,11400.0
154,1284,2,2,1,886,2,3026,2,12000.0,480.0,23520.0
155,1284,2,2,2,886,2,3026,3,16500.0,4950.0,44550.0
156,1333,1,,2,720,1880,2902,1,15750.0,315.0,15435.0
